occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
49-9061,5,0.16991454193359767,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,6,0.14342795547236264,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,7,0.1057569593293175,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,8,0.06461111371053496,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,9,0.027993395527971532,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,10,0.00465853907324798,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9062,1,0.01814309549364207,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,2,0.056339118132401,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,3,0.09051185962178632,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,4,0.1182124250281798,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,5,0.13803114604982913,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,6,0.14857046196287427,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,7,0.14811446338791123,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,8,0.1342374366806648,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,9,0.10292065145499774,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9062,10,0.04491934218771365,partial:OEWS_May2021_lognormal;D,10.837672057901257,0.3908801168119323,5,own
49-9063,1,0.06988284927213351,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,2,0.15953076124106486,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,3,0.1873598504502001,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,4,0.1793185384541684,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,5,0.15153018311313993,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,6,0.11469894609115994,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,7,0.07640969883228921,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
