occ_code,fips,emp,source_tag
11-2033,50,183,real:OEWS_May2025_state; renormalized to national
11-2033,51,896,real:OEWS_May2025_state; renormalized to national
11-2033,53,1069,real:OEWS_May2025_state; renormalized to national
11-2033,54,102,real:OEWS_May2025_state; renormalized to national
11-2033,55,407,real:OEWS_May2025_state; renormalized to national
11-3012,01,898,real:OEWS_May2025_state; renormalized to national
11-3012,02,1065,real:OEWS_May2025_state; renormalized to national
11-3012,04,7047,real:OEWS_May2025_state; renormalized to national
11-3012,05,1159,real:OEWS_May2025_state; renormalized to national
11-3012,06,43055,real:OEWS_May2025_state; renormalized to national
11-3012,08,2443,real:OEWS_May2025_state; renormalized to national
11-3012,09,3320,real:OEWS_May2025_state; renormalized to national
11-3012,10,752,real:OEWS_May2025_state; renormalized to national
11-3012,11,1075,real:OEWS_May2025_state; renormalized to national
11-3012,12,16026,real:OEWS_May2025_state; renormalized to national
11-3012,13,14324,real:OEWS_May2025_state; renormalized to national
11-3012,15,1629,real:OEWS_May2025_state; renormalized to national
11-3012,16,919,real:OEWS_May2025_state; renormalized to national
11-3012,17,12570,real:OEWS_May2025_state; renormalized to national
11-3012,18,5867,real:OEWS_May2025_state; renormalized to national
11-3012,19,1441,real:OEWS_May2025_state; renormalized to national
11-3012,20,1201,real:OEWS_May2025_state; renormalized to national
11-3012,22,3403,real:OEWS_May2025_state; renormalized to national
11-3012,24,4510,real:OEWS_May2025_state; renormalized to national
11-3012,25,9532,real:OEWS_May2025_state; renormalized to national
11-3012,26,6880,real:OEWS_May2025_state; renormalized to national
11-3012,27,7893,real:OEWS_May2025_state; renormalized to national
11-3012,28,1775,real:OEWS_May2025_state; renormalized to national
11-3012,29,4406,real:OEWS_May2025_state; renormalized to national
11-3012,30,418,real:OEWS_May2025_state; renormalized to national
11-3012,31,2714,real:OEWS_May2025_state; renormalized to national
11-3012,32,3142,real:OEWS_May2025_state; renormalized to national
11-3012,33,793,real:OEWS_May2025_state; renormalized to national
11-3012,34,11390,real:OEWS_May2025_state; renormalized to national
11-3012,36,15671,real:OEWS_May2025_state; renormalized to national
11-3012,37,7684,real:OEWS_May2025_state; renormalized to national
11-3012,38,313,real:OEWS_May2025_state; renormalized to national
11-3012,39,8331,real:OEWS_May2025_state; renormalized to national
11-3012,40,2318,real:OEWS_May2025_state; renormalized to national
11-3012,41,2735,real:OEWS_May2025_state; renormalized to national
11-3012,42,5095,real:OEWS_May2025_state; renormalized to national
11-3012,44,814,real:OEWS_May2025_state; renormalized to national
11-3012,46,470,real:OEWS_May2025_state; renormalized to national
11-3012,47,8530,real:OEWS_May2025_state; renormalized to national
11-3012,48,23992,real:OEWS_May2025_state; renormalized to national
11-3012,49,1744,real:OEWS_May2025_state; renormalized to national
11-3012,50,449,real:OEWS_May2025_state; renormalized to national
11-3012,51,2975,real:OEWS_May2025_state; renormalized to national
11-3012,53,3644,real:OEWS_May2025_state; renormalized to national
11-3012,54,1973,real:OEWS_May2025_state; renormalized to national
11-3012,55,5450,real:OEWS_May2025_state; renormalized to national
11-3012,56,125,real:OEWS_May2025_state; renormalized to national
11-3013,01,940,real:OEWS_May2025_state; renormalized to national
11-3013,02,870,real:OEWS_May2025_state; renormalized to national
11-3013,04,3430,real:OEWS_May2025_state; renormalized to national
11-3013,05,880,real:OEWS_May2025_state; renormalized to national
11-3013,06,20551,real:OEWS_May2025_state; renormalized to national
11-3013,08,2150,real:OEWS_May2025_state; renormalized to national
11-3013,09,2650,real:OEWS_May2025_state; renormalized to national
11-3013,10,240,real:OEWS_May2025_state; renormalized to national
11-3013,11,930,real:OEWS_May2025_state; renormalized to national
11-3013,12,8621,real:OEWS_May2025_state; renormalized to national
11-3013,13,2670,real:OEWS_May2025_state; renormalized to national
11-3013,15,760,real:OEWS_May2025_state; renormalized to national
11-3013,16,610,real:OEWS_May2025_state; renormalized to national
11-3013,17,9181,real:OEWS_May2025_state; renormalized to national
11-3013,18,4110,real:OEWS_May2025_state; renormalized to national
11-3013,19,2340,real:OEWS_May2025_state; renormalized to national
11-3013,20,1080,real:OEWS_May2025_state; renormalized to national
11-3013,21,1070,real:OEWS_May2025_state; renormalized to national
11-3013,22,1160,real:OEWS_May2025_state; renormalized to national
11-3013,23,670,real:OEWS_May2025_state; renormalized to national
11-3013,24,5211,real:OEWS_May2025_state; renormalized to national
11-3013,25,6071,real:OEWS_May2025_state; renormalized to national
11-3013,26,4920,real:OEWS_May2025_state; renormalized to national
11-3013,27,3000,real:OEWS_May2025_state; renormalized to national
11-3013,28,930,real:OEWS_May2025_state; renormalized to national
11-3013,29,1920,real:OEWS_May2025_state; renormalized to national
11-3013,30,340,real:OEWS_May2025_state; renormalized to national
11-3013,31,1430,real:OEWS_May2025_state; renormalized to national
11-3013,32,1250,real:OEWS_May2025_state; renormalized to national
11-3013,33,550,real:OEWS_May2025_state; renormalized to national
11-3013,34,5691,real:OEWS_May2025_state; renormalized to national
11-3013,35,390,real:OEWS_May2025_state; renormalized to national
11-3013,36,9581,real:OEWS_May2025_state; renormalized to national
11-3013,37,4810,real:OEWS_May2025_state; renormalized to national
11-3013,38,270,real:OEWS_May2025_state; renormalized to national
